NAME,LATITUDE,LONGITUDE
The Place,41.0565,29.05367
The Bosphorus from The Comfy Hill,41.06984,29.04545
LOVELY APT. IN PERFECT LOCATION,41.03254,28.98153
Duplex Apartment with Terrace,41.04471,28.98567
Cosy home overlooking Bosphorus,41.09048,29.05559
"↪ Istanbul, Your second house ",41.04844,28.95254
nice home in popular area,41.0335,28.97626
Deluxe double bedroom @ Nisantasi,41.05382,28.99739
A room in galata beyoglu,41.02704,28.97588
Sea View terrace  House,41.03658,28.97213
Cosy Room in Istanbul Center,41.04902,28.99829
Örücü Palace / Princess Apartment,41.02725,28.97718
Beautiful Studio With A View,41.03089,28.98054
"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",41.03082,28.97958
Kurucesme stunning seaview peacfull Flat,41.06464,29.0358
Double Room in Taksim,41.03467,28.98902
Charming Apartment in Kuzguncuk,41.03485,29.03155
A room with a view of Bosphorous.,41.01717,28.96325
Prince(Garden Apart),41.02752,28.97858
Private  studio bestlocation@Taksim,41.0385,28.98189
1+1 Closed to Taksim Square,41.04693,28.98002
Central Location Taksim/Cihangir ,41.03442,28.98561
Quiet room in central apartment,41.03638,28.9909
flat with garden'n' terrace taksim,41.03343,28.99057
Gümüşsuyu Apartment,41.03656,28.98873
Nisantasi Studio Apartment,41.05018,28.99015
Wonderful room with Historical View,41.03326,28.97876
Bosphorus Views,41.02945,28.97404
❛Cozy • Clean • Central • Room❜,41.03082,28.98053
Kurucesme design amazing seaview  forest room,41.06341,29.0364
Cihangir Connection,41.03103,28.984
Blue Mosque View in Sultanahmet,41.0063,28.97916
Beautiful Artist's home staycation,41.03277,28.98822
"Beautiful room in an Artist's home, staycation",41.03249,28.99102
"View, Kid-friendly, Central @Taksim",41.03625,28.99129
Room in a modern home.,40.97618,29.04442
Flat with super Golden Horn view,41.03398,28.97297
Eveything you need - as you wish,41.06496,28.95651
Single private room in shared flat,41.02893,28.9779
warm family place ..,40.98242,29.05151
Entire Flat at Cihangir/Taksim,41.03282,28.98537
flat in galata 150sqm fantastic vue,41.02543,28.97535
Entire house in central Kadikoy,40.98373,29.02865
Penthouse in Taxim -with 2 bedrooms,41.03577,28.9773
(-55%)28nts in may 300€:Best LocationDuplex@Taksim,41.03895,28.98387
Beautiful & Super Deluxe Flat,41.04753,28.9803
Friendly Family Home,40.87171,29.1291
King Suite Studio  Near Taksim Square,41.03767,28.98219
"""Homeinİstanbul"" wGreat Location",41.03224,28.98714
Nice flat in historical Galata ,41.02622,28.97488
Fully furnished bosphorus view,41.16308,29.03753
Ottoman Flat 2BR @Taksim Square,41.03614,28.98163
Apartment in the Heart of the City1,41.03919,28.98266
Charming Apt City Center Taksim,41.03293,28.98853
Kiptas Seyrantepe Residence Flat,40.9476,29.16943
Lovely Gardened House 10 minutes walking to metro,41.01694,29.06929
Nice historical apartment in Galata,41.0278,28.97696
at the center of İstanbul..,41.07005,28.98561
"Bright Room, Great Location...",41.03237,28.9869
Private room with balcony in shared flat,41.02842,28.9779
Single private room in shared flat (Middle room),41.02997,28.97612
Nice room with balcony,41.0164,29.01527
"Luxurious, specially designed...!",41.02719,28.68328
08JAN-29MAR/WINTER SUPER DISCOUNT,41.0297,28.97583
Lovely and Cozy Flat at Cihangir ,41.03023,28.98182
GORGEOUS BOSPHORUS VIEW! COMFY ROOM,41.03506,28.99193
6-Cabin Yacht with A/C,41.0787,29.08596
Stay near Bagdat Avenue - 3BR apt,40.97543,29.06553
decent quality/price balance in Ist,41.019,28.92851
Best location - Orange,41.02918,28.98331
Charming Delightful Studio@Centre 4,41.02874,28.9766
Sultan,41.02845,28.97892
Cozy apartment in Kuzguncuk,41.03382,29.03173
My nice flat in Nisantasi/ ,41.05585,28.99103
The Heart of Istanbul,41.10619,28.73866
Harem,41.02865,28.97919
Exclusive Apart with Kitchenette,41.0029,28.97787
Cozy studio apartment in Cihangir,41.03077,28.98118
Nice and Clean Lovely Room Cihangir,41.03073,28.98167
Cozy Room in the Heart of Kadıköy,40.98598,29.02667
Comfy Furnished Room in a Cozy Home,40.98627,29.02542
2  PRIVATE ROOMS IN SULTANAHMET ,41.0068,28.97874
FLAT WITH HISTORICAL VIEW,40.98441,29.02177
FULL EQUIPPED FLAT IN OLD ISTANBUL,41.01309,28.94331
"Istiklal Avenue,Sadri alisik street",41.03433,28.98221
"Apartment in Montmartre, Paris",41.03203,28.98564
CIHANGIR | Stunning Bosphorus View!,41.03297,28.98488
A boutique experience in Istanbul ,41.03324,28.9811
Sur la place de la tour de Galata,41.02437,28.9748
BLUE Mosque walking&Grand pazar مشي لكل مكان,41.01106,28.94568
"Down town,walk to everywhereوسط اسطنبول يوسف باشا",41.01232,28.94706
Eco friendly and cosy garden apt - Prime Location!,41.03136,28.98635
Cosy Flat at the Center of ISTANBUL,41.0613,28.99495
Bright and characterful in Galata!,41.02625,28.97276
"Sunny Flat for Room Price, Taksim",41.045,28.9863
Furnished Flats & Historical Room,41.05458,28.98672
"Room minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",41.01077,28.94512
only 10 minutes to Sultanahmet,41.0248,28.94738
Charming Delightful Studio@Centre 3,41.02669,28.97594
"Galateia Apartments,1 BR up to 4",41.02961,28.97643
Girls Sharing room غرفة للبنات  TRAM STREET,41.01143,28.94603
Standard Suites,40.99259,29.02534
Spacious Family Apt in Kadiköy,40.99462,29.02552
1+1 65m2 Deluxe Suitler,40.99295,29.02656
Asian Side Apartment with SEA VIEW,40.97555,29.0431
Terrace Bosphorus Sea View Taksim,41.03392,28.98927
"cozy quite home, in the center ",41.03207,28.98052
"Furnished luxury apartment, Galata",41.02485,28.97338
Design chic serviced apt in Galata.,41.02485,28.97338
Modern serviced flat in Galata,41.02485,28.97338
Modern chic serviced apt in Galata,41.02485,28.97338
