NAME,LATITUDE,LONGITUDE
Belgrad Ormanı Bahçeköy Girişi Açık,41.18356349,28.98885369
Alibeyköy Cep Otogarı Otobüs Otoparkı,41.08763212,28.94515514
Belgrad Ormanı Bahçeköy Girişi Açık,41.18330816,28.98891976
Belgrad Ormanı Kurt Kemeri Girişi Otoparkı,41.19679283,28.91966779
Belgrad Ormanı Kurt Kemeri Girişi Otoparkı,41.1970264,28.92051767
Maltepe Orhangazi Şehir Parkı Açık Otoparkı 1,40.93131484,29.11608696
Seyrantepe Katlı (Arena Karşısı) 1,41.10039707,28.99582384
Kozyatağı Sebze-Meyve Hali,40.9784843,29.10294696
Kadıköy Yeni Salı Pazarı Katlı Otoparkı,40.99779188,29.05007644
Bağcılar Kent Meydanı Zemin Altı,-99,-99
Bağcılar Kent Meydanı Zemin Altı,41.03400288,28.85565151
Yenikapı Spor ve Kültür Merkezi Açık Otoparkı 2,41.00069526,28.95138488
Yenikapı Spor ve Kültür Merkezi Açık Otoparkı 1,41.00038694,28.95137787
Kayaşehir Meydan Zemin Altı Otoparkı,-99,-99
Sabiha Gökçen P+R,40.92390437,29.30976663
Sabiha Gökçen P+R,40.92419846,29.30970308
Beyoğlu Tepebaşı Katlı Otoparkı,41.03190953,28.9743644
Beyoğlu Tepebaşı Katlı Otoparkı,41.03190953,28.9743644
Kadıköy Açık Otoparkı,40.989991,29.01844474
Mevlana Yeraltı Katlı Otoparkı,41.00565883,28.90463592
Merter Katlı Otoparkı,41.00916362,28.88739109
İspark West İstanbul Marina Açık Otoparkı,40.96388564,28.65906098
15 Temmuz Demokrasi Otogarı,41.04155198,28.89459268
Bakırköy İdo Açık Otoparkı,40.97393448,28.87609578
Gürpınar Balık Hali Otoparkı,40.96728185,28.60214954
Esenler Adem Baştürk Kültür Merkezi Katlı,41.03869159,28.88508413
Güneş Plajı 2,40.97269986,28.78688718
Şehit Volkan Duysak Katlı Otoparkı,40.9965469,28.90428816
