NAME,LATITUDE,LONGITUDE,NEIGHBORHOOD_NAME
ÜMRANİYE,41.01414594,29.16373448,YUKARI DUDULLU
ŞİLE,41.15579592,29.60433743,ÇAVUŞ
EYÜPSULTAN,41.23651473,28.90607452,ÇİFTALAN
BAĞCILAR,41.02743229,28.84747155,İNÖNÜ
TUZLA,40.9316241,29.33890266,FATİH
KAĞITHANE,41.0751913,28.99990174,TELSİZLER
KADIKÖY,40.96764901,29.10274261,KOZYATAĞI
ÜMRANİYE,40.99902935,29.15498896,ŞERİFALİ
KÜÇÜKÇEKMECE,41.03686638,28.81027951,HALKALI MERKEZ
ZEYTİNBURNU,41.016299,28.91167162,MERKEZEFENDİ
BEYOĞLU,41.04371363,28.94792856,PİRİPAŞA
SİLİVRİ,41.30537103,28.24175507,DANAMANDIRA
ŞİLE,41.15688719,29.6282651,ÇAVUŞ
BEYLİKDÜZÜ,40.98186429,28.68256861,MARMARA
BAĞCILAR,41.05404038,28.85444228,KEMALPAŞA
KÜÇÜKÇEKMECE,41.02941408,28.79570732,HALKALI MERKEZ
SİLİVRİ,41.07231784,28.27391577,YENİ
PENDİK,40.880055,29.25938796,FEVZİ ÇAKMAK
BÜYÜKÇEKMECE,41.01634011,28.62590929,PINARTEPE
BAĞCILAR,41.04689728,28.83445194,DEMİRKAPI
ARNAVUTKÖY,41.27717314,28.61228124,BOYALIK
ÇATALCA,41.4101955,28.1854755,ATATÜRK
BAŞAKŞEHİR,,,KAYABAŞI
BAĞCILAR,41.02749641,28.85739339,MERKEZ
SULTANGAZİ,41.10404414,28.86197178,UĞUR MUMCU
ESENYURT,41.03797011,28.64186646,OSMANGAZİ
KADIKÖY,40.97755127,29.097093,19 MAYIS
SANCAKTEPE,41.01369796,29.19118382,MECLİS
BAYRAMPAŞA,41.02805148,28.89936721,TERAZİDERE
PENDİK,40.88151563,29.24040116,DOĞU
PENDİK,40.90536913,29.28536192,ŞEYHLİ
KAĞITHANE,41.07514309,28.9696002,GÜRSEL
BAKIRKÖY,40.97402414,28.87318947,ATAKÖY 1. KISIM
BAĞCILAR,41.02742799,28.81262805,15 TEMMUZ
SANCAKTEPE,41.00860922,29.20170178,MECLİS
SULTANBEYLİ,40.96939307,29.25715278,ABDURRAHMANGAZİ
AVCILAR,40.99363129,28.70950192,ÜNİVERSİTE
SULTANBEYLİ,40.9719573,29.24918089,HASANPAŞA
SANCAKTEPE,41.04376927,29.27918522,PAŞAKÖY
ESENYURT,41.05981154,28.62519605,AKÇABURGAZ
BÜYÜKÇEKMECE,41.0185455,28.56393513,MİMAR SİNAN
ÜSKÜDAR,41.04893433,29.05456576,ÇENGELKÖY
PENDİK,40.87370848,29.26604853,FEVZİ ÇAKMAK
ÇEKMEKÖY,41.07607571,29.27753471,
PENDİK,40.92669114,29.31750646,HARMANDERE
SARIYER,41.1157716,29.02328368,MASLAK
TUZLA,40.83580293,29.32389265,İSTASYON
ESENYURT,41.055412,28.67180478,AŞIK VEYSEL
ÇEKMEKÖY,41.01450336,29.19039046,ÇAMLIK
KÜÇÜKÇEKMECE,41.01578731,28.80376468,İNÖNÜ
MALTEPE,40.93971866,29.13335023,ALTAYÇEŞME
BEYKOZ,41.13060422,29.09358583,GÜMÜŞSUYU
KADIKÖY,40.96644558,29.10335137,KOZYATAĞI
FATİH,41.00370175,28.94995966,AKSARAY
ÇEKMEKÖY,41.03084799,29.23101092,TAŞDELEN
SİLİVRİ,41.06387731,28.32291996,SELİMPAŞA
KÜÇÜKÇEKMECE,41.04264208,28.75635697,YARIMBURGAZ
MALTEPE,40.92783851,29.13306917,ALTAYÇEŞME
SİLİVRİ,41.08342301,28.37078083,ORTAKÖY
ÜSKÜDAR,41.0185385,29.08457534,BULGURLU
ARNAVUTKÖY,41.23183977,28.59967308,YASSIÖREN
SARIYER,41.10851251,29.02328986,PINAR
BAĞCILAR,41.04773828,28.85967769,FEVZİ ÇAKMAK
BAYRAMPAŞA,41.02806636,28.90068303,TERAZİDERE
BÜYÜKÇEKMECE,41.0243886,28.62363627,CUMHURİYET
KADIKÖY,41.00436516,29.03031176,KOŞUYOLU
GAZİOSMANPAŞA,41.07614846,28.88070665,KARADENİZ
GAZİOSMANPAŞA,41.08253132,28.91672524,MEVLANA
ÇEKMEKÖY,41.07875581,29.25029521,REŞADİYE
ŞİŞLİ,,,MERKEZ
KADIKÖY,41.00477289,29.035356,ACIBADEM
SİLİVRİ,41.07694152,28.24642011,PİRİ MEHMET PAŞA
SULTANGAZİ,41.09173674,28.86447997,50. YIL
ARNAVUTKÖY,41.15816138,28.61356557,HASTANE
BEYOĞLU,41.03833142,28.95672622,KEÇECİ PİRİ
SANCAKTEPE,41.00791108,29.20168331,SARIGAZİ
SİLİVRİ,41.10731249,28.22173863,ALİPAŞA
BAĞCILAR,41.05403682,28.83352668,GÖZTEPE
ÇEKMEKÖY,41.04312366,29.27602181,NİŞANTEPE
SULTANBEYLİ,40.94238474,29.30108773,AKŞEMSETTİN
BEYLİKDÜZÜ,40.98943024,28.61889796,DEREAĞZI
ZEYTİNBURNU,41.0142777,28.90059434,TOZKOPARAN
KÜÇÜKÇEKMECE,41.00259596,28.78740856,SULTAN MURAT
ESENYURT,41.00935027,28.70135904,SAADETDERE
BAHÇELİEVLER,41.00227299,28.88296925,BAHÇELİEVLER
EYÜPSULTAN,41.16944965,28.90500865,MİTHATPAŞA
ÇEKMEKÖY,41.0370441,29.1556768,MERKEZ
KAĞITHANE,41.08336653,28.99973039,ÇELİKTEPE
ZEYTİNBURNU,40.98166199,28.89088175,KAZLIÇEŞME
PENDİK,40.90789654,29.29335117,ŞEYHLİ
