NAME,LATITUDE,LONGITUDE
Medipol Üniversitesi Hastanesi Kadıköy,41.00466311,29.03434784
Sarıyer İsmail Akgün Devlet Hastanesi Ek Hizmet Binası,41.16916369,29.0565991
İstanbul Eğitim ve Araştırma Hastanesi,41.00307392,28.93830032
Özel Universal Hospital Grup İtalyan Giovanni Alberto Agnelli Hastanesi,41.02878152,28.98143308
Kartal Koşuyolu Yüksek İhtisas Eğitim ve Araştırma Hastanesi,40.91582446,29.17170436
Silivri Devlet Hastanesi Selimpaşa Ek Hizmet Binası,41.05433252,28.37936054
İstanbul Haseki Eğitim ve Araştırma Hastanesi 29 Mayıs Ek Hizmet Binası,41.0204647,28.93751396
Özel İstanbul Cerrahi Hastanesi Fulya,41.05562822,28.99787243
Özel Üsküdar Anadolu Hastanesi,41.02144526,29.01583249
Özel Estethica Levent Hastanesi,41.08606814,29.01786073
Dr. Siyami Ersek Göğüs ve Kalp Damar Cerrahisi Eğitim ve Araştırma Hastanesi,41.00379664,29.02341119
Özel Nişantaşı Hastanesi ,41.05473519,28.99608403
Özel Esencan Hastanesi,41.0333794,28.67657012
Okmeydanı Eğitim Araştırma Hastanesine Bağlı Kasımpaşa Ek Hizmet Binası,41.03285599,28.9640173
Özel Doğa Hospital,41.01285299,28.69652415
Özel Maya Estetik,41.06914647,29.00218712
İstanbul Sultan Abdülhamid Eğitim ve Araştırma Hastanesi,41.0017151,29.02083364
Özel Batı Bahat Hospıtal İkitelli,41.05087386,28.79631931
Özel Üsküdar Hospital Türk Hastanesi,41.02591855,29.02186458
Özel Safa Hastanesi Yenibosna,40.99916994,28.83831158
Kağıthane Devlet Hastanesi,41.09220402,29.00134639
Özel Yeni Ufuk Hastanesi,41.03301387,28.85581532
Özel Florence Nightingale Hastanesi Kadıköy,40.98159724,29.04163789
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,41.00442712,29.02272294
Özel Ethica İncirli Hastanesi,40.99725207,28.87271752
Özel Medilife Hastanesi Bağcılar,41.04876197,28.85940806
Özel Okmeydanı Hastanesi,41.05257142,28.96006803
Pendik Devlet Hastanesi,40.87712037,29.22980993
Özel Akgün Tem Hastanesi,41.06127787,28.80170064
Sağlık Bilimleri Üniversitesi İstanbul Beyoğlu Göz Eğitim ve Araştırma Hastanesi,41.02478927,28.97370639
Özel Güneşli Erdem Hastanesi,41.04013916,28.82554274
Özel Rumeli Hospital,41.00781883,28.79837796
Özel Academic Hospital,41.0198541,29.03458128
Üsküdar Devlet Hastanesi,41.0154471,29.03879733
Özel Kolan International Hospital,41.06462491,28.98044046
Özel Hospitalium Hastanesi Çamlıca,41.02407185,29.08198618
Özel Mecidiyeköy Çevre Hastanesi ,41.06725517,29.00119557
Özel Ersoy Hastanesi Kurtköy,40.91068665,29.29813508
Avcılar Murat Kölük Devlet Hastanesi,40.98475743,28.73148152
Özel NP İstanbul Beyin Hastanesi,41.02999764,29.11438485
Pendik Devlet Hastanesi Ek Binası,40.88060192,29.23710209
Eyüpsultan Devlet Hastanesi,41.05729178,28.94078404
Özel Hospitalist Hastanesi,41.03452912,28.85490262
Özel Universal Hospital Çamlıca,41.02477492,29.05822702
Özel Medical Park Hastanesi Fatih,41.01473579,28.95206322
SBÜ Süleymaniye Doğum ve Kadın Hastalıkları Eğitim ve Araştırma Hastanesi,40.99532827,28.91471498
Özel Balıklı Rum Hastanesi,40.99884255,28.91757467
Özel Avicenna Hastanesi Ataşehir ,40.97932234,29.10874653
Özel Ataşehir Hastanesi,40.98604834,29.17564168
Özel Avusturya Sen Jorj Hastanesi,41.0242776,28.9743182
Özel Avcılar Anadolu Hastanesi,41.00551935,28.70610613
Özel Vital Hospital,41.00719175,28.8696689
Özel Doğan Hastanesi,40.98684449,28.78368994
Özel Çağıner Hastanesi,40.99615804,29.04527173
Özel Yüzyıl Pendik Hastanesi,40.87937412,29.26146334
Özel Memorial Hastanesi Ataşehir,40.98453828,29.10706927
Özel Afiyet Hastanesi,41.02397303,29.08416295
Özel Central Hospital,40.9658851,29.10027554
Özel Medical Park Ağız ve Diş Hastanesi Göztepe,40.9903356,29.07753062
Özel Bayrampaşa Kolan Hospital,41.03298289,28.90103448
Esenyurt Devlet Hastanesi Hale Ishakoğlu Ek Hizmet Binası,41.03244277,28.68299918
Özel Medical Park Hastanesi Gaziosmanpaşa,41.0592141,28.90745841
İstanbul Fizik Tedavi Rehabilitasyon Eğitim ve Araştırma Hastanesi Yenibosna Ek Hizmet Binası,41.0124298,28.82324545
Özel Derindere Hastanesi,41.08271264,28.97095344
İBÜ Avrupa Florence Nightingale Hastanesi Araştırma ve Uygulama Merkezi Bedii Gorbon Kanser Merkezi,41.02897765,28.97073872
Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi,40.88604777,29.26269961
Bahçelievler Devlet Hastanesi,41.00604881,28.84455675
Mehmet Akif Ersoy Göğüs Kalp Damar Cerrahisi ve Eğitim Araştırma Hastanesi,41.03377447,28.7776405
Özel Sante Plus Hastanesi,40.99845397,28.89427897
Özel Acıbadem Hastanesi Bakırköy,40.97764447,28.87272932
Özel Gazi Hastanesi,41.10103116,28.89866197
Aydın Üniversitesi Ağız ve Diş Sağlığı Merkezi,41.0017141,28.87099381
Biruni Üniversitesi Tıp Fakültesi Hastanesi,40.98875245,28.79630726
Özel Medical Park Hastanesi Göztepe,40.99015706,29.07765294
Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,40.99382809,28.86501117
Özel Hospitalium Hastanesi Şişli,41.06063034,28.98901831
Özel Çapa Hastanesi,41.0133865,28.9340421
Özel Memorial Hastanesi Şişli,41.06140585,28.97310577
Özel Bahat Hospital Sultangazi,41.10615882,28.86043443
Özel Asya Hastanesi,41.07386419,28.90383443
Özel Hattat Hastanesi,41.08608619,29.01783632
Gaziosmanpaşa Taksim Eğitim ve Araştırma Hastanesi,41.08657206,28.89821357
Özel Bilge Hastanesi,41.06953667,28.90735499
Özel GSB Gisbir Sağlık Merkezi Hastanesi,40.84791623,29.29436247
Özel Osmanoğlu Hastanesi,41.0630971,28.98857643
Özel Median Hastanesi,41.02161161,28.83931907
Özel Bölge Hastanesi Maltepe,40.92088129,29.13754965
Özel Aile Hastanesi,40.99762146,28.86723015
Maltepe Devlet Hastanesi,40.93698366,29.13504292
T.E.V. Sultanbeyli Devlet Hastanesi Devlet Hastanesi,40.96525005,29.26599327
Özel Bayrampaşa Hastanesi,41.05808297,28.90357453
Özel İlke Hastanesi,40.99764325,28.83481914
Özel Baypark Hospital,41.06302656,28.89115271
Özel Medivia Hospital Hastanesi,41.05225685,29.07600699
Bayrampaşa Devlet Hastanesi,41.04174665,28.90269906
SBÜ Erenköy Ruh ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,40.97549388,29.0888788
Özel Saygı Hastanesi,40.96973367,29.25805714
İstanbul Meslek Hastalıkları Hastanesi,40.94907369,29.13943024
Özel Yeni İklim Hastanesi,41.03673094,28.85788259
Medipol Mega Hastaneler Kompleksi,41.05833107,28.84223396
Özel Avrupa Şafak Hastanesi,41.059746,28.912531
SBÜ Bağcılar Eğitim ve Araştırma Hastanesi,41.03018268,28.87126367
Özel Fahrettin Kerim Gökay Vakfı Sağlık Tesisi,40.98207905,29.06869517
TSK Çamlıca Özel Bakım Merkezi ,41.01024748,29.05900594
Kartal Dr. Lütfi Kırdar Eğitim ve Araştırma Hastanesi Büyükada Ek Hizmet Binası,40.87002196,29.12809868
Özel Bölge Hastanesi Sancaktepe,41.00896612,29.21217751
Özel Türkiye Gazetesi Hastanesi,41.06663934,28.98202802
Özel Erdem Hastanesi Çakmak,41.02177818,29.1199368
Özel Yaşar Hastanesi,40.98377145,28.87270376
Beyoğlu Taksim Eğitim ve Araştırma Hastanesi,41.03319498,28.98328255
Şişli Hamidye Etfal Eğitim ve Araştırma Hastanesi,41.05756824,28.99027513
Özel Eyüp Atriyum Kardiyoloji Merkezi,41.06539396,28.97209495
Özel Medicana Hastanesi Çamlıca,41.02453006,29.08368821
Medipol Üniversitesi Hastanesi Esenler ,41.05139602,28.86620136
İstanbul Aydın Üniversitesi Diş Hekimliği Fakültesi Hastanesi,40.99009168,28.7967993
Başakşehir Devlet Hastanesi,41.11838873,28.80884779
Özel Liv Hospital Ulus Hastanesi,41.0609142,29.02852928
Sarıyer Eğitim ve Araştırma Hastanesi,41.15761912,29.02738572
Özel Büyükçekmece Kolan Hospital Hastanesi,41.02161342,28.58600556
Özel Avrupa Hospital Hastanesi,41.18171369,28.74422809
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Validebağ Ek Hizmet Binası,41.01187695,29.04089688
Özel Dr. Sadık Ahmet Hastanesi,40.9996729,28.78040939
Özel İlgi Hastanesi,41.02093131,28.86672196
Özel Acıbadem Hastanesi Atakent,41.03500939,28.77886368
