NAME,LATITUDE,LONGITUDE
SHANGRI LA BOSPHORUS DELUXE ROOM,41.04136,29.0042
SWISSOTEL THE ISTANBUL ADVANTAGE GARDEN ROOM,41.04224,28.99813
HAGIA SOPHIA MANSION,41.00715,28.97995
RADISSON BLU PERA SUPERIOR GOLDEN HORN VIEW ROOM,41.03069,28.97234
AJWA HOTELS CITY VIEW ROOM,41.0059,28.96975
RADISSON BLU SISLI STANDART ROOM,41.06027,28.98893
DIVAN ISTANBUL SUPERIOR ROOM,41.03931,28.98762
PERA PALACE DELUXE PERA SIDE ROOM,41.03125,28.97328
DOUBLE TREE BY HILTON MODA STANDART ROOM,40.98884,29.02207
GEZI BOSPHORUS DELUXE CITY VIEW ROOM,41.03781,28.98722
CONRAD ISTANBUL BOSPHORUS PARK SUITE KING,41.0474,29.01008
RIXOS PERA ISTANBUL DELUXE ROOM,41.03423,28.97553
SIRKECI MANSION STANDART ROOM,41.012,28.97894
SURA DESIGN HOTEL DELUXE ROOM,41.00987,28.97559
DOUBLE TREE BY HILTON SIRKECI DELUXE ROOM,41.0142,28.97854
BARCELO İSTANBUL SUPERIOR ROOM,41.04181,28.98435
ERESIN SULTANAHMET HOTEL STANDART ROOM,41.00331,28.97508
HYATT REGENCY STANDART ROOM,40.97584,28.85829
SULTANIA HOTEL STANDART ROOM,41.0124,28.9772
METROPOLITAN HOTEL BOSPHORUS DELUXE ROOM,41.03164,28.98764
THE GALATA HOTEL ISTANBUL SUPERIOR ROOM,41.02318,28.97187
DOSSO DOSSI OLD CITY STANDART ROOM,41.00917,28.9779
MERCURE CITY BOSPHORUS CITYVIEW ROOM,41.06297,29.01074
MERCURE ISTANBUL TAKSIM STANDART ROOM,41.03743,28.99336
TITANIC CITY TAKSIM SUPERIOR ROOM,41.04015,28.98485
CROWNE PLAZA OLD CITY STANDART ROOM,41.01023,28.95859
PARK DEDEMAN LEVENT SUPERIOR ROOM,41.07927,29.01144
THE CENTRAL PALACE TAKSIM STANDART ROOM,41.03994,28.9859
WYNDHAM GRAND KALAMIS MARINA DELUXE ROOM,40.9763,29.04194
DOUBLE TREE BY HILTON TUZLA GUEST ROOM,40.84522,29.29542
GRAND ÖZTANIK HOTEL,41.03953,28.98458
ARDEN CITY HOTEL STANDART ROOM,41.01089,28.97594
ERESIN TAXIM PREMIER STANDART ROOM,41.04067,28.98317
LEVNI HOTEL STANDART ROOM,41.01166,28.97619
METROPOLITAN TAKSIM STANDART ROOM,41.04165,28.98313
TITANIC PORT BAKIRKOY SUPERIOR ROOM,40.97652,28.87078
ERESIN TOPKAPI HOTEL STANDART ROOM,41.02036,28.92686
FAROS HOTEL OLD CITY STANDART ROOM,41.00955,28.9745
THE PRESIDENT HOTEL STANDART ROOM,41.00894,28.9666
AMETHYST HOTEL,41.00858,28.95595
KENT HOTEL STANDART ROOM,41.00954,28.96166
WISH MORE HOTEL STANDART ROOM,41.04852,28.89819
YASMAK SULTAN HOTEL STANDART ROOM,41.01341,28.97797
HALİFAKS HOTEL İSTANBUL,41.05772,28.98907
HILTON İSTANBUL KOZYATAĞI,40.98654,29.0852
GOLDEN CITY HOTEL STANDART ROOM,41.02347,28.96944
OCCIDENTAL PERA ISTANBUL STANDART ROOM,41.03429,28.97539
BEETHOVEN PREMIUM STANDART ROOM,41.01046,28.95535
DEDEMAN ISTANBUL SUPERIOR ROOM,41.06475,29.00952
PIERRE LOTI STANDART ROOM,41.00784,28.97196
YUKSEL YENIKAPI HOTEL STANDART ROOM,41.00643,28.94648
GRAND GULSOY HOTEL,41.0138,28.95708
AVANTGARDE COLLECTION TAKSİM STANDART ROOM,41.03704,28.98697
BLUE HOUSE HOTEL ECONOMY ROOM,41.00485,28.98004
LARES PARK STANDART ROOM,41.04097,28.98515
RAMADA GOLDEN HORN STANDART ROOM,41.05355,28.94496
RAMADA ISTANBUL GRAND BAZAAR STANDART ROOM,41.01148,28.95387
SUMENGEN HOTEL SUPERIOR ROOM,41.00343,28.97912
THE PEAK HOTEL COMFORT ROOM,41.0294,28.97486
TITANIC BUSINESS GOLDEN HORN SUPERIOR ROOM,41.04499,28.91384
GRAND WASHINGTON HOTEL,41.01037,28.95655
HOLIDAY INN İSTANBUL CITY HOTEL,41.01762,28.92628
