NAME,LATITUDE,LONGITUDE
50. Yıl Korusu,40.94154632,29.12321075
Aşıklar Tepesi,40.86071831,29.11359636
Büyükada Tepesi,40.86110732,29.11741756
Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987424,29.05289378
Fenerbahçe Parkı,40.96848348,29.03580103
Göztepe 60. Yıl Parkı,40.97006568,29.05868943
Bahçetepe İstanbul Hobi Bahçeleri,41.10025565,28.76856125
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987424,29.05289378
Fenerbahçe Parkı,40.96848348,29.03580103
Göztepe 60. Yıl Parkı,40.97006568,29.05868943
Özgürlük Parkı,40.97955191,29.05410975
Florya Atatürk Ormanı,40.98183977,28.78588256
Florya Atatürk Ormanı,40.98183977,28.78588256
Florya Atatürk Ormanı,40.98183977,28.78588256
Gülhane Parkı,41.01203882,28.97881523
Florya Atatürk Ormanı,40.98183977,28.78588256
Florya Atatürk Ormanı,40.98183977,28.78588256
Bebek Parkı,41.07604798,29.04393283
Emirgan Korusu (Emirgân Korusu),41.10884029,29.05335403
Polonezköy Tabiat Parkı,41.11088914,29.20379817
Yaşam Vadisi,41.00477799,28.63652631
Gülhane Parkı,41.01203882,28.97881523
Maçka Demokrasi Parkı,41.04603272,28.98929206
Kuzguncuk Bostanı,41.03464528,29.03107196
Maçka Demokrasi Parkı,41.04603272,28.98929206
Yıldız Parkı,41.04883299,29.01471091
Büyük Atatürk Parkı,41.00152179,28.53856226
Sinanoba Barıs Manço Parkı,40.99442382,28.53777558
Yaşam Vadisi,41.00477799,28.63652631
Gülhane Parkı,41.01203882,28.97881523
Bahçeşehir Park Gölet,41.06691264,28.68836234
Yaşam Vadisi,41.00477799,28.63652631
Maçka Demokrasi Parkı,41.04603272,28.98929206
Gülhane Parkı,41.01203882,28.97881523
Maçka Demokrasi Parkı,41.04603272,28.98929206
Maçka Demokrasi Parkı,41.04603272,28.98929206
Florya Atatürk Ormanı,40.98183977,28.78588256
Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987424,29.05289378
Fenerbahçe Parkı,40.96848348,29.03580103
Göztepe 60. Yıl Parkı,40.97006568,29.05868943
Özgürlük Parkı,40.97955191,29.05410975
50. Yıl Korusu,40.94154632,29.12321075
Aşıklar Tepesi,40.86071831,29.11359636
Büyükada Tepesi,40.86110732,29.11741756
Maçka Demokrasi Parkı,41.04603272,28.98929206
Yıldız Parkı,41.04883299,29.01471091
Florya Atatürk Ormanı,40.98183977,28.78588256
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Aşıklar Tepesi,40.86071831,29.11359636
Büyükada Tepesi,40.86110732,29.11741756
Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987424,29.05289378
Göztepe 60. Yıl Parkı,40.97006568,29.05868943
Özgürlük Parkı,40.97955191,29.05410975
50. Yıl Korusu,40.94154632,29.12321075
Aşıklar Tepesi,40.86071831,29.11359636
Büyükada Tepesi,40.86110732,29.11741756
50. Yıl Korusu,40.94154632,29.12321075
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Catalay Binicilik Kulubu,41.10839753,29.29860192
Polonezköy Tabiat Parkı,41.11088914,29.20379817
Atatürk Arboretumu,41.17672998,28.98539815
Bebek Parkı,41.07604798,29.04393283
Belgrad Ormanı,41.18747096,28.96710952
Emirgan Korusu (Emirgân Korusu),41.10884029,29.05335403
Erdemkent Bahçe,41.07958172,28.25692351
Klasis Tepe,41.07987869,28.22288886
50. Yıl Korusu,40.94154632,29.12321075
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Belgrad Ormanı,41.18747096,28.96710952
Maçka Demokrasi Parkı,41.04603272,28.98929206
Gülhane Parkı,41.01203882,28.97881523
Akademi Binicilik,41.20960388,28.47653075
Ataköy Piknik Park Çatalca,41.1819996,28.4528193
Büyük Atatürk Parkı,41.00152179,28.53856226
Dogland,41.05287145,28.47180788
Grandma's Wonderland,41.1343254,28.28266659
Çanakça Köyü,41.24580379,28.4940459
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Bebek Parkı,41.07604798,29.04393283
Kuzguncuk Bostanı,41.03464528,29.03107196
Polonezköy Tabiat Parkı,41.11088914,29.20379817
Özgürlük Parkı,40.97955191,29.05410975
Ataşehir Yürüyüş Parkuru,40.99078069,29.12171135
Göztepe 60. Yıl Parkı,40.97006568,29.05868943
Kuzguncuk Bostanı,41.03464528,29.03107196
Özgürlük Parkı,40.97955191,29.05410975
Kuzguncuk Bostanı,41.03464528,29.03107196
Maçka Demokrasi Parkı,41.04603272,28.98929206
Yıldız Parkı,41.04883299,29.01471091
Maşatlık Parkı,41.17922054,29.61332716
Şile Bayrak Parkı,41.1672402,29.60811738
Maçka Demokrasi Parkı,41.04603272,28.98929206
Yıldız Parkı,41.04883299,29.01471091
