NAME,LATITUDE,LONGITUDE
Ayasofya Camii,41.008583,28.980175 
Topkapı Sarayı Müzesi,41.01152,28.983379 
Yerebatan Sarnıcı,41.008384,28.977878
Sultan Ahmet Camii, 41.00541,28.976814
Sultanahmet Meydanı,41.006329,28.975705 
Dolmabahçe Sarayı,41.039164,29.000459
Galata Kulesi,41.025569,28.974129
İstanbul Boğazı,41.221313,29.129016
Kız Kulesi,41.021141,29.004131
Kapalı Çarşı (Grand Bazaar),41.010685,28.968068
Eminönü,41.014936,28.965977
Mısır Çarşısı,41.0165,28.970519
Taksim Meydanı,41.037002,28.985092
Aya İrini Müzesi,41.00961,28.981183
Rahmi M. Koç Müzesi,41.042539,28.949184
Süleymaniye Camii,41.016047,28.963971
Gülhane Parkı,41.013308,28.98151
Ortaköy Camii,41.047215,29.026948 
Yıldız Sarayı,41.050021,29.011557
Fatih Camii,41.019653,28.949919
Yeni Camii,41.016986,28.971959
Ahrida Sinagogu,41.032883,28.94573
Eyüp Sultan Camii,41.047849,28.933759
Pierre Loti Tepesi,41.054328,28.933408
Miniatürk,41.058993,28.949219
İstanbul Oyuncak Müzesi,40.975973,29.070712
Türk ve İslam Eserleri Müzesi,41.006224,28.97472
Pera Müzesi,41.031854,28.975058 
Sakıp Sabancı Müzesi,41.105556,29.056944
Emirgan Korusu,41.10865,29.053112
Atatürk Arboretumu,41.176626,28.985378
Belgrad Ormanı,41.184012,28.988502
Maçka Demokrasi Parkı,41.044794,28.993057
Polonezköy Tabiat Parkı,41.110617,29.204458
Fenerbahçe Parkı,40.969042,29.036065
Nezahat Gökyiğit Botanik Bahçesi,40.998714,29.120176
Nişantaşı,41.049464,28.992018
Bebek,41.077744,29.041629
Balat, 41.029211,28.948498
Rumeli Hisarı,41.084822,29.056698
Beylerbeyi Sarayı,41.042645,29.039905
Garipçe,41.210072,29.106903
Çamlıca Tepesi,41.028244,29.069162 
Anadolu Kavağı,41.173816,29.088682
Mihrabat Korusu, 41.096771,29.068753
Büyükada,40.85604,29.11871
Heybeliada,40.873336,29.089627 
Kınalıada,40.908056,29.052222
Burgazada,40.88,29.066944
Küçüksu Kasrı,41.078418,29.064879
Adile Sultan Sarayı,41.070951,29.057289 
Caddebostan Sahili,40.962217,29.062227
Moda Sahili,40.980008,29.022831
Kadıköy Boğa Heykeli,40.990468,29.029171
Bağdat Caddesi,40.95884,29.083769
Kanlıca,41.099008,29.073629
Kuzguncuk,41.036122,29.037264
Gözdağı Korusu,40.890641,29.253609
Çubuklu Korusu,41.101984,29.08381
Otağtepe Parkı,41.090137,29.071269
Haydarpaşa Garı,40.996825,29.019294
Çinili Camii,41.019924,29.02919
Çemberlitaş Hamamı,41.008533,28.9716
Cağaloğlu Hamamı,41.010594,28.975337
Kılıç Ali Paşa Hamamı,41.026191,28.980632
Yedikule Zindanları,40.993485,28.92274
Panorama 1453 Tarih Müzesi,41.018277,28.920391 
Anadolu Hisarı,41.085932,29.07072
Tarihi Çınaraltı Çay Bahçesi,41.050281,29.052401
Deniz Müzesi,41.041464,29.005435
Masumiyet Müzesi,41.030849,28.979854
Florya Atatürk Deniz Köşkü,40.973797,28.783353
Çamlıca Kulesi,41.016699,29.065992
Ağva,41.138653,29.856061
Şile,41.10273,29.653418
Dragos Tepesi,40.901348,29.14666
Selimiye Kışlası,41.008215,29.015883
Göztepe 60. Yıl Parkı,40.969968,29.05786
İsfanbul,41.074267,28.924014
Mihrimah Sultan Cami,41.026779,29.015982
Galatasaray Hamamı,41.032831,28.97989
İstanbul Arkeoloji Müzeleri,41.011686,28.981331
İstanbul Modern Sanat Müzesi,41.02592,28.982838 
Boğaz Turu,41.079257,29.046922
Beşiktaş İskelesi,41.041212,29.007308 
Fişekhane,40.983048,28.9051
Kanlıca İskelesi,41.100224,29.065385
Arasta Çarşısı,41.005329,28.978202
Galataport,41.027352,28.985484 
Çemberlitaş,41.00918,28.970169
Kumkapı,41.00426,28.964697
Kanlıca Yoğurtçu Parkı,41.099008,29.073629
Asmalımescit,41.030909,28.97506
Vefa Bozacısı,41.015318,28.95842
Yıldız Parkı,41.049143,29.015263
Ayasofya Hürrem Sultan Hamamı,41.007258,28.979137
Arnavutköy,41.186394,28.738889
Yeşilköy Rum Ortodoks Kilisesi,40.977648,28.818895 
Turkcell Platinum Park,41.115306,28.993554
